,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,basoko,1.2391,23.616,21.86,96,96,1.46,CD,1619234020
149,poum,-20.2333,164.0167,26.51,77,99,3.09,NC,1619234021
150,calama,-22.4667,-68.9333,8.0,57,0,4.63,CL,1619234021
151,san quintin,30.4833,-115.95,14.44,80,16,6.73,MX,1619234021
152,san patricio,28.017,-97.5169,26.0,89,75,5.66,US,1619233889
153,namwala,-15.7504,26.4384,13.89,85,0,1.68,ZM,1619233726
154,cidreira,-30.1811,-50.2056,20.91,82,1,7.24,BR,1619233917
155,ostrovnoy,68.0531,39.5131,0.09,93,100,11.47,RU,1619233863
156,sorland,67.667,12.6934,2.08,59,98,9.7,NO,1619234022
157,dingle,10.9995,122.6711,33.29,49,91,3.5,PH,1619233802
158,mahebourg,-20.4081,57.7,24.0,94,75,5.14,MU,1619233889
159,porto walter,-8.2686,-72.7439,22.51,97,64,0.94,BR,1619234022
160,kahului,20.8947,-156.47,26.0,57,20,10.29,US,1619234022
161,rocha,-34.4833,-54.3333,16.5,96,79,3.58,UY,1619233890
162,bathsheba,13.2167,-59.5167,26.0,65,40,6.69,BB,1619233890
163,khangarh,29.9173,71.1618,23.0,40,0,2.6,PK,1619234023
164,grand gaube,-20.0064,57.6608,24.44,85,93,1.34,MU,1619234023
165,lagoa,39.05,-27.9833,14.03,72,44,14.84,PT,1619233795
166,havre-saint-pierre,50.2334,-63.5986,-1.0,100,40,2.57,CA,1619233859
167,san jose,37.3394,-121.895,14.44,67,40,5.14,US,1619233879
168,abu dhabi,24.4667,54.3667,25.0,50,0,1.03,AE,1619234023
169,husavik,66.0449,-17.3389,2.0,93,0,1.54,IS,1619233963
170,sao felix do xingu,-6.6447,-51.995,21.96,98,35,0.46,BR,1619234024
171,reconquista,-29.15,-59.65,18.76,95,94,0.26,AR,1619234024
172,sao filipe,14.8961,-24.4956,21.41,76,16,3.65,CV,1619234023
173,kamskoye ustye,55.2016,49.268,5.0,81,0,5.0,RU,1619234024
174,souillac,-20.5167,57.5167,24.0,94,75,5.14,MU,1619234010
175,meulaboh,4.1363,96.1285,27.25,77,100,1.66,ID,1619233891
176,kaura namoda,12.5898,6.5779,31.23,37,99,3.4,NG,1619234025
177,tailai,46.3833,123.4,11.28,17,100,6.57,CN,1619234025
178,almeirim,-1.5233,-52.5817,23.5,94,90,1.05,BR,1619234025
179,ilulissat,69.2167,-51.1,-1.0,64,100,1.03,GL,1619234025
180,nguru,12.8791,10.4526,30.65,11,78,2.44,NG,1619234026
181,khatanga,71.9667,102.5,0.74,97,100,8.46,RU,1619234026
182,prince rupert,54.3161,-130.3201,9.0,76,1,3.09,CA,1619234012
183,new norfolk,-42.7826,147.0587,15.56,73,96,1.79,AU,1619234026
184,half moon bay,37.4636,-122.4286,12.22,87,90,2.06,US,1619233909
185,road town,18.4167,-64.6167,27.0,69,1,2.57,VG,1619233595
186,ayan,56.45,138.1667,1.71,64,99,2.37,RU,1619234026
187,kaitangata,-46.2817,169.8464,12.78,64,100,3.13,NZ,1619234027
188,kununurra,-15.7667,128.7333,31.0,20,41,7.2,AU,1619234027
189,airai,-8.9266,125.4092,24.04,47,6,1.65,TL,1619234027
190,vuktyl,63.8567,57.3094,4.49,89,100,2.56,RU,1619234028
191,obilnoye,44.2457,43.5613,9.0,81,100,2.0,RU,1619234028
192,touros,-5.1989,-35.4608,25.0,94,40,2.06,BR,1619233886
193,carnarvon,-24.8667,113.6333,30.0,26,2,2.06,AU,1619233756
